출처: 시카고선물거래소(CBO).
단위 : 달러/톤
"date","wheat","corn","soybeans"
"20210317","234","218","520"
"20210316","237","217","522"
"20210315","236","215","521"
"20210314","0","0","0"
"20210313","0","0","0"
"20210312","234","212","518"
"20210311","236","211","519"
"20210310","239","209","518"
"20210309","241","214","529"
"20210308","237","215","526"
"20210307","0","0","0"
"20210306","0","0","0"
"20210305","240","214","525"
"20210304","239","209","518"
"20210303","240","210","517"
"20210302","244","214","519"
"20210301","239","212","511"
"20210228","0","0","0"
"20210227","0","0","0"
"20210226","241","219","517"
"20210225","246","218","516"
"20210224","248","220","523"
"20210223","244","217","516"
"20210222","244","216","507"
"20210221","0","0","0"
"20210220","0","0","0"
"20210219","239","214","505"
"20210218","244","216","505"
"20210217","236","217","508"
"20210216","242","217","508"
"20210215","0","0","0"
"20210214","0","0","0"
"20210213","0","0","0"
"20210212","234","212","503"
"20210211","232","212","502"
"20210210","233","209","497"
"20210209","239","218","515"
"20210208","241","222","510"
"20210207","0","0","0"
"20210206","0","0","0"
"20210205","235","215","502"
"20210204","233","216","503"
"20210203","237","217","503"
"20210202","237","213","497"
"20210201","240","216","501"
"20210131","0","0","0"
"20210130","0","0","0"
"20210129","243","215","501"
"20210128","0","0","0"
"20210127","0","0","0"
"20210126","244","208","502"
"20210125","238","201","494"
"20210124","0","0","0"
"20210123","0","0","0"
"20210122","233","197","480"
"20210121","242","206","502"
"20210120","245","205","502"
"20210119","247","206","508"
"20210118","0","0","0"
"20210117","0","0","0"
"20210116","0","0","0"
"20210115","247","208","523"
"20210114","246","210","526"
"20210113","242","205","516"
"20210112","242","203","521"
"20210111","233","193","504"
"20210110","0","0","0"
"20210109","0","0","0"
"20210108","234","195","505"
"20210107","236","194","497"
"20210106","237","194","502"
"20210105","240","193","498"
"20210104","236","190","481"
"20210103","0","0","0"
"20210102","0","0","0"
"20210101","0","0","0"
"20201231","235","190","480"
"20201230","235","186","476"
"20201229","227","183","476"
"20201228","0","0","0"
"20201227","0","0","0"
"20201226","0","0","0"
"20201225","0","0","0"
"20201224","230","177","464"
"20201223","231","175","463"
"20201222","226","174","459"
"20201221","224","173","458"
"20201220","0","0","0"
"20201219","0","0","0"
"20201218","223","171","448"
"20201217","223","170","442"
"20201216","219","167","435"
"20201215","220","167","436"
"20201214","219","166","431"
"20201213","0","0","0"
"20201212","0","0","0"
"20201211","226","166","426"
"20201210","219","166","424"
"20201209","214","166","425"
"20201208","208","163","420"
"20201207","209","164","425"
"20201206","0","0","0"
"20201205","0","0","0"
"20201204","207","163","427"
"20201203","210","166","428"
"20201202","211","164","423"
"20201201","208","162","427"
"20201130","213","164","428"
"20201129","0","0","0"
"20201128","0","0","0"
"20201127","218","167","438"
"20201126","0","0","0"
"20201125","215","165","434"
"20201124","224","167","440"
"20201123","220","167","438"
"20201122","0","0","0"
"20201121","0","0","0"
"20201120","217","166","433"
"20201119","217","166","432"
"20201118","219","167","431"
"20201117","218","165","429"
"20201116","219","163","423"
"20201115","0","0","0"
"20201114","0","0","0"
"20201113","217","161","421"
"20201112","215","160","421"
"20201111","219","164","423"
"20201110","223","166","421"
"20201109","219","160","408"
"20201108","0","0","0"
"20201107","0","0","0"
"20201106","221","160","404"
"20201105","223","160","404"
"20201104","223","159","398"
"20201103","222","157","389"
"20201102","223","155","386"
"20201101","0","0","0"
"20201031","0","0","0"
"20201030","219","156","388"
"20201029","221","156","386"
"20201028","224","157","388"
"20201027","225","163","397"
"20201026","227","164","399"
"20201025","0","0","0"
"20201024","0","0","0"
"20201023","233","165","398"
"20201022","228","163","393"
"20201021","231","162","393"
"20201020","232","160","391"
"20201019","230","159","387"
"20201018","0","0","0"
"20201017","0","0","0"
"20201016","230","158","385"
"20201015","227","158","390"
"20201014","219","155","388"
"20201013","218","153","383"
"20201012","218","153","380"
"20201011","0","0","0"
"20201010","0","0","0"
"20201009","217","155","391"
"20201008","218","152","385"
"20201007","223","152","385"
"20201006","217","151","383"
"20201005","214","149","375"
"20201004","0","0","0"
"20201003","0","0","0"
"20201002","210","149","374"
"20201001","209","150","376"
"20200930","210","148","375"
"20200929","201","143","364"
"20200928","201","144","365"
"20200927","0","0","0"
"20200926","0","0","0"
"20200925","199","143","367"
"20200924","201","144","372"
"20200923","201","144","372"
"20200922","205","145","374"
"20200921","203","145","374"
"20200920","0","0","0"
"20200919","0","0","0"
"20200918","211","148","383"
"20200917","204","147","377"
"20200916","199","146","371"
"20200915","197","144","364"
"20200914","200","145","367"
"20200913","0","0","0"
"20200912","0","0","0"
"20200911","199","145","365"
"20200910","201","143","358"
"20200909","199","141","359"
"20200908","200","142","357"
"20200907","0","0","0"
"20200906","0","0","0"
"20200905","0","0","0"
"20200904","202","140","355"
"20200903","203","139","354"
"20200902","205","140","353"
"20200901","207","140","350"
"20200831","199","137","349"
"20200830","0","0","0"
"20200829","0","0","0"
"20200828","198","134","349"
"20200827","199","134","344"
"20200826","195","134","338"
"20200825","193","133","336"
"20200824","191","130","330"
"20200823","0","0","0"
"20200822","0","0","0"
"20200821","193","128","330"
"20200820","191","127","331"
"20200819","188","127","335"
"20200818","186","128","334"
"20200817","189","130","335"
"20200816","0","0","0"
"20200815","0","0","0"
"20200814","183","127","329"
"20200813","181","127","329"
"20200812","180","123","323"
"20200811","181","122","319"
"20200810","180","122","319"
"20200809","0","0","0"
"20200808","0","0","0"
"20200807","182","121","318"
"20200806","184","122","321"
"20200805","187","122","321"
"20200804","186","121","323"
"20200803","191","125","327"
"20200802","0","0","0"
"20200801","0","0","0"
"20200731","195","124","326"
"20200730","194","124","325"
"20200729","195","124","325"
"20200728","192","125","326"
"20200727","193","127","330"
"20200726","0","0","0"
"20200725","0","0","0"
"20200724","198","128","330"
"20200723","194","129","331"
"20200722","196","128","328"
"20200721","193","127","327"
"20200720","191","129","329"
"20200719","0","0","0"
"20200718","0","0","0"
"20200717","196","131","328"
"20200716","196","130","326"
"20200715","202","128","323"
"20200714","193","128","321"
"20200713","192","129","319"
"20200712","0","0","0"
"20200711","0","0","0"
"20200710","196","132","325"
"20200709","192","137","328"
"20200708","189","136","327"
"20200707","181","135","329"
"20200706","181","136","330"
"20200705","0","0","0"
"20200704","0","0","0"
"20200703","0","0","0"
"20200702","180","134","327"
"20200701","183","137","327"
"20200630","180","134","321"
"20200629","178","128","318"
"20200628","0","0","0"
"20200627","0","0","0"
"20200626","174","124","318"
"20200625","178","124","319"
"20200624","176","127","319"
"20200623","178","127","321"
"20200622","178","129","321"
"20200621","0","0","0"
"20200620","0","0","0"
"20200619","176","130","321"
"20200618","177","130","320"
"20200617","179","129","320"
"20200616","182","129","318"
"20200615","185","129","319"
"20200614","0","0","0"
"20200613","0","0","0"
"20200612","184","129","320"
"20200611","183","129","318"
"20200610","186","128","318"
"20200609","185","128","317"
"20200608","188","131","317"
"20200607","0","0","0"
"20200606","0","0","0"
"20200605","189","130","318"
"20200604","192","129","318"
"20200603","188","127","315"
"20200602","187","127","312"
"20200601","189","127","308"
"20200531","0","0","0"
"20200530","0","0","0"
"20200529","190","127","307"
"20200528","188","128","311"
"20200527","185","126","311"
"20200526","186","125","311"
"20200525","186","124","306"
"20200524","0","0","0"
"20200523","0","0","0"
"20200522","189","125","306"
"20200521","189","125","306"
"20200520","189","125","311"
"20200519","183","126","309"
"20200518","182","126","310"
"20200517","0","0","0"
"20200516","0","0","0"
"20200515","183","125","307"
"20200514","184","125","307"
"20200513","184","125","308"
"20200512","189","126","313"
"20200511","189","125","313"
"20200510","0","0","0"
"20200509","0","0","0"
"20200508","192","125","312"
"20200507","191","125","309"
"20200506","189","123","305"
"20200505","190","124","308"
"20200504","191","124","306"
"20200503","0","0","0"
"20200502","0","0","0"
"20200501","189","125","314"
"20200430","192","125","313"
"20200429","189","123","307"
"20200428","193","122","305"
"20200427","192","123","307"
"20200426","0","0","0"
"20200425","0","0","0"
"20200424","194","127","306"
"20200423","201","125","307"
"20200422","199","124","306"
"20200421","201","121","305"
"20200420","201","123","303"
"20200419","0","0","0"
"20200418","0","0","0"
"20200417","196","126","305"
"20200416","194","125","307"
"20200415","198","125","308"
"20200414","201","128","311"
"20200413","203","130","313"
"20200412","0","0","0"
"20200411","0","0","0"
"20200410","0","0","0"
"20200409","205","130","317"
"20200408","201","130","314"
"20200407","201","130","314"
"20200406","204","129","313"
"20200405","0","0","0"
"20200404","0","0","0"
"20200403","202","130","313"
"20200402","199","131","315"
"20200401","202","131","317"
"20200331","208","134","325"
"20200330","209","134","323"
"20200329","0","0","0"
"20200328","0","0","0"
"20200327","210","135","323"
"20200326","209","137","322"
"20200325","213","137","323"
"20200324","205","136","324"
"20200323","206","135","323"
"20200322","0","0","0"
"20200321","0","0","0"
"20200320","198","135","316"
"20200319","196","135","310"
"20200318","185","131","303"
"20200317","182","135","302"
"20200316","182","140","302"
"20200315","0","0","0"
"20200314","0","0","0"
"20200313","185","143","311"
"20200312","185","143","315"
"20200311","188","147","320"
"20200310","191","148","321"
"20200309","191","146","319"
"20200308","0","0","0"
"20200307","0","0","0"
"20200306","188","148","326"
"20200305","190","150","329"
"20200304","190","151","333"
"20200303","194","149","331"
"20200302","192","147","331"
"20200301","0","0","0"
"20200229","0","0","0"
"20200228","192","144","327"
"20200227","194","144","328"
"20200226","196","147","327"
"20200225","197","148","326"
"20200224","198","148","324"
"20200223","0","0","0"
"20200222","0","0","0"
"20200221","202","148","326"
"20200220","205","148","327"
"20200219","207","149","329"
"20200218","208","150","327"
"20200217","0","0","0"
"20200216","0","0","0"
"20200215","0","0","0"
"20200214","200","148","328"
"20200213","200","149","329"
"20200212","201","150","327"
"20200211","198","149","325"
"20200210","202","149","325"
"20200209","0","0","0"
"20200208","0","0","0"
"20200207","205","150","324"
"20200206","204","149","324"
"20200205","206","149","326"
"20200204","204","150","323"
"20200203","203","148","321"
"20200202","0","0","0"
"20200201","0","0","0"
"20200131","203","150","320"
"20200130","206","149","321"
"20200129","206","151","328"
"20200128","209","151","328"
"20200127","210","149","329"
"20200126","0","0","0"
"20200125","0","0","0"
"20200124","211","152","331"
"20200123","213","154","334"
"20200122","213","152","335"
"20200121","213","152","336"
"20200120","0","0","0"
"20200119","0","0","0"
"20200118","0","0","0"
"20200117","209","153","341"
"20200116","207","148","339"
"20200115","210","152","341"
"20200114","208","153","345"
"20200113","206","153","345"
"20200112","0","0","0"
"20200111","0","0","0"
"20200110","207","151","347"
"20200109","207","150","346"
"20200108","202","151","347"
"20200107","202","151","346"
"20200106","202","151","347"
"20200105","0","0","0"
"20200104","0","0","0"
"20200103","204","151","345"
"20200102","205","154","351"
"20200101","0","0","0"
"20191231","205","152","346"
"20191230","204","152","345"
"20191229","0","0","0"
"20191228","0","0","0"
"20191227","204","153","341"
"20191226","202","152","344"
"20191225","0","0","0"
"20191224","198","152","344"
"20191223","198","152","344"
"20191222","0","0","0"
"20191221","0","0","0"
"20191220","199","152","340"
"20191219","200","152","399"
"20191218","201","152","340"
"20191217","203","153","341"
"20191216","201","152","338"
"20191215","0","0","0"
"20191214","0","0","0"
"20191213","195","149","332"
"20191212","198","145","330"
"20191211","194","140","327"
"20191210","196","143","329"
"20191209","195","143","329"
"20191208","0","0","0"
"20191207","0","0","0"
"20191206","195","144","325"
"20191205","195","143","324"
"20191204","196","145","323"
"20191203","195","146","320"
"20191202","200","147","320"
"20191201","0","0","0"
"20191130","0","0","0"
"20191129","195","143","320"
"20191128","0","0","0"
"20191127","195","145","325"
"20191126","195","146","328"
"20191125","189","145","330"
"20191124","0","0","0"
"20191123","0","0","0"
"20191122","217","145","331"
"20191121","189","144","333"
"20191120","188","146","335"
"20191119","186","145","335"
"20191118","185","146","338"
"20191117","0","0","0"
"20191116","0","0","0"
"20191115","187","148","337"
"20191114","187","148","331"
"20191113","189","148","333"
"20191112","185","146","332"
"20191111","187","148","337"
"20191110","0","0","0"
"20191109","0","0","0"
"20191108","188","147","339"
"20191107","189","149","336"
"20191106","189","150","338"
"20191105","0","0","0"
"20191104","189","153","339"
"20191103","0","0","0"
"20191102","0","0","0"
"20191101","186","153","336"
"20191031","187","153","336"
"20191030","187","152","337"
"20191029","188","151","338"
"20191028","190","152","338"
"20191027","0","0","0"
"20191026","0","0","0"
"20191025","189","152","342"
"20191024","190","152","343"
"20191023","190","152","343"
"20191022","192","152","342"
"20191021","195","153","343"
"20191020","0","0","0"
"20191019","0","0","0"
"20191018","193","155","342"
"20191017","188","154","340"
"20191016","186","154","343"
"20191015","0","0","0"
"20191014","186","156","343"
"20191013","0","0","0"
"20191012","0","0","0"
"20191011","181","149","339"
"20191010","183","155","339"
"20191009","0","0","0"
"20191008","179","152","336"
"20191007","180","151","336"
"20191006","0","0","0"
"20191005","0","0","0"
"20191004","179","153","335"
"20191003","0","0","0"
"20191002","183","154","337"
"20191001","182","152","332"
"20190930","179","146","324"
"20190929","0","0","0"
"20190928","0","0","0"
"20190927","177","146","326"
"20190926","175","147","326"
"20190925","177","147","328"
"20190924","177","146","327"
"20190923","177","145","324"
"20190922","0","0","0"
"20190921","0","0","0"
"20190920","179","146","328"
"20190919","179","146","326"
"20190918","177","144","328"
"20190917","179","147","330"
"20190916","177","145","330"
"20190915","0","0","0"
"20190914","0","0","0"
"20190913","0","0","0"
"20190912","0","0","0"
"20190911","177","142","320"
"20190910","174","139","315"
"20190909","170","139","315"
"20190908","0","0","0"
"20190907","0","0","0"
"20190906","171","141","316"
"20190905","169","141","321"
"20190904","166","142","319"
"20190903","0","0","0"
"20190902","169","145","319"
"20190901","0","0","0"
"20190831","0","0","0"
"20190830","173","146","319"
"20190829","174","146","318"
"20190828","175","144","315"
"20190827","174","144","318"
"20190826","175","144","314"
"20190825","0","0","0"
"20190824","0","0","0"
"20190823","173","146","319"
"20190822","171","145","320"
"20190821","171","145","319"
"20190820","173","147","318"
"20190819","172","149","323"
"20190818","0","0","0"
"20190817","0","0","0"
"20190816","0","0","0"
"20190815","0","0","0"
"20190814","173","148","321"
"20190813","173","154","323"
"20190812","183","161","327"
"20190811","0","0","0"
"20190810","0","0","0"
"20190809","183","161","324"
"20190808","179","160","318"
"20190807","177","159","318"
"20190806","181","159","314"
"20190805","180","157","312"
"20190804","0","0","0"
"20190803","0","0","0"
"20190802","174","154","311"
"20190801","179","157","317"
"20190731","182","161","322"
"20190730","185","164","325"
"20190729","182","163","324"
"20190728","0","0","0"
"20190727","0","0","0"
"20190726","183","164","324"
"20190725","182","166","327"
"20190724","179","167","325"
"20190723","179","166","326"
"20190722","184","169","331"
"20190721","0","0","0"
"20190720","0","0","0"
"20190719","181","167","323"
"20190718","185","171","324"
"20190717","186","171","326"
"20190716","186","173","331"
"20190715","192","178","335"
"20190714","0","0","0"
"20190713","0","0","0"
"20190712","191","174","330"
"20190711","185","171","328"
"20190710","184","170","325"
"20190709","187","173","322"
"20190708","189","172","321"
"20190707","0","0","0"
"20190706","0","0","0"
"20190705","0","0","0"
"20190704","188","171","326"
"20190703","184","164","323"
"20190702","188","163","326"
"20190701","193","167","332"
"20190630","0","0","0"
"20190629","0","0","0"
"20190628","200","175","326"
"20190627","199","174","328"
"20190626","196","176","331"
"20190625","197","175","333"
"20190624","193","174","331"
"20190623","0","0","0"
"20190622","0","0","0"
"20190621","193","177","336"
"20190620","191","173","331"
"20190619","195","177","335"
"20190618","198","179","335"
"20190617","197","178","329"
"20190616","0","0","0"
"20190615","0","0","0"
"20190614","196","174","326"
"20190613","193","169","322"
"20190612","190","168","315"
"20190611","186","163","315"
"20190610","185","163","314"
"20190609","0","0","0"
"20190608","0","0","0"
"20190607","187","165","319"
"20190606","0","0","0"
"20190605","186","167","323"
"20190604","190","167","322"
"20190603","184","168","322"
"20190602","0","0","0"
"20190601","0","0","0"
"20190531","189","171","326"
"20190530","180","164","320"
"20190529","185","165","314"
"20190528","0","0","0"
"20190527","179","159","304"
"20190526","0","0","0"
"20190525","0","0","0"
"20190524","172","153","301"
"20190523","173","155","304"
"20190522","175","155","302"
"20190521","175","153","305"
"20190520","170","150","301"
"20190519","0","0","0"
"20190518","0","0","0"
"20190517","171","149","308"
"20190516","164","145","306"
"20190515","164","145","305"
"20190514","160","140","294"
"20190513","156","138","297"
"20190512","0","0","0"
"20190511","0","0","0"
"20190510","157","139","298"
"20190509","161","143","303"
"20190508","161","144","305"
"20190507","160","143","305"
"20190506","0","0","0"
"20190505","0","0","0"
"20190504","0","0","0"
"20190503","163","145","309"
"20190502","160","145","312"
"20190501","0","0","0"
"20190430","159","142","316"
"20190429","162","142","318"
"20190428","0","0","0"
"20190427","0","0","0"
"20190426","162","140","321"
"20190425","158","136","314"
"20190424","161","138","316"
"20190423","160","139","322"
"20190422","0","0","0"
"20190421","0","0","0"
"20190420","0","0","0"
"20190419","163","141","323"
"20190418","164","141","322"
"20190417","163","141","326"
"20190416","168","142","330"
"20190415","170","142","328"
"20190414","0","0","0"
"20190413","0","0","0"
"20190412","169","141","328"
"20190411","168","142","331"
"20190410","168","141","330"
"20190409","170","141","330"
"20190408","171","142","330"
"20190407","0","0","0"
"20190406","0","0","0"
"20190405","172","143","333"
"20190404","173","142","330"
"20190403","170","142","330"
"20190402","170","142","329"
"20190401","168","140","324"
"20190331","0","0","0"
"20190330","0","0","0"
"20190329","170","147","326"
"20190328","172","147","326"
"20190327","172","148","330"
"20190326","172","149","333"
"20190325","171","148","332"
"20190324","0","0","0"
"20190323","0","0","0"
"20190322","171","148","334"
"20190321","170","146","332"
"20190320","167","146","332"
"20190319","167","146","332"
"20190318","169","146","334"
"20190317","0","0","0"
"20190316","0","0","0"
"20190315","166","145","330"
"20190314","164","144","331"
"20190313","166","143","329"
"20190312","161","143","329"
"20190311","161","143","329"
"20190310","0","0","0"
"20190309","0","0","0"
"20190308","161","143","329"
"20190307","165","146","331"
"20190306","0","0","0"
"20190305","0","0","0"
"20190304","0","0","0"
"20190303","0","0","0"
"20190302","0","0","0"
"20190301","0","0","0"
"20190228","169","144","332"
"20190227","178","147","334"
"20190226","0","0","0"
"20190225","178","147","334"
"20190224","0","0","0"
"20190223","0","0","0"
"20190222","178","147","334"
"20190221","179","145","330"
"20190220","185","147","333"
"20190219","185","147","333"
"20190218","186","147","331"
"20190217","0","0","0"
"20190216","0","0","0"
"20190215","191","148","337"
"20190214","191","148","337"
"20190213","190","146","332"
"20190212","190","147","336"
"20190211","188","148","335"
"20190210","0","0","0"
"20190209","0","0","0"
"20190208","193","149","338"
"20190207","193","149","338"
"20190206","0","0","0"
"20190205","0","0","0"
"20190204","0","0","0"
"20190203","0","0","0"
"20190202","0","0","0"
"20190201","0","0","0"
"20190131","188","148","337"
"20190130","191","149","339"
"20190129","191","148","336"
"20190128","0","0","0"
"20190127","0","0","0"
"20190126","0","0","0"
"20190125","0","0","0"
"20190124","191","149","334"
"20190123","190","150","336"
"20190122","0","0","0"
"20190121","190","150","336"
"20190120","0","0","0"
"20190119","0","0","0"
"20190118","190","149","333"
"20190117","187","146","328"
"20190116","188","149","331"
"20190115","191","148","334"
"20190114","191","148","333"
"20190113","0","0","0"
"20190112","0","0","0"
"20190111","190","149","337"
"20190110","190","149","337"
"20190109","189","150","338"
"20190108","189","150","338"
"20190107","189","150","338"
"20190106","0","0","0"
"20190105","0","0","0"
"20190104","187","147","324"
"20190103","187","147","324"
"20190102","186","148","329"
"20190101","0","0","0"
"20181231","0","0","0"
"20181230","0","0","0"
"20181229","0","0","0"
"20181228","0","0","0"
"20181227","189","148","324"
"20181226","188","149","325"
"20181225","0","0","0"
"20181224","0","0","0"
"20181223","0","0","0"
"20181222","0","0","0"
"20181221","191","150","330"
"20181220","191","150","330"
"20181219","196","151","332"
"20181218","196","151","332"
"20181217","194","151","330"
"20181216","0","0","0"
"20181215","0","0","0"
"20181214","193","151","338"
"20181213","191","151","338"
"20181212","192","151","334"
"20181211","195","151","336"
"20181210","189","150","334"
"20181209","0","0","0"
"20181208","0","0","0"
"20181207","190","151","335"
"20181206","191","151","335"
"20181205","191","150","332"
"20181204","189","148","328"
"20181203","189","148","328"
"20181202","0","0","0"
"20181201","0","0","0"
"20181130","186","141","326"
"20181129","182","140","321"
"20181128","186","140","316"
"20181127","183","141","323"
"20181126","183","142","324"
"20181125","0","0","0"
"20181124","0","0","0"
"20181123","183","142","324"
"20181122","183","142","323"
"20181121","183","142","321"
"20181120","186","143","327"
"20181119","186","143","327"
"20181118","0","0","0"
"20181117","0","0","0"
"20181116","186","143","327"
"20181115","186","144","322"
"20181114","186","144","322"
"20181113","190","146","324"
"20181112","184","145","325"
"20181111","0","0","0"
"20181110","0","0","0"
"20181109","187","146","323"
"20181108","188","146","324"
"20181107","188","146","324"
"20181106","186","147","325"
"20181105","186","144","324"
"20181104","0","0","0"
"20181103","0","0","0"
"20181102","183","143","324"
"20181101","0","0","0"
"20181031","186","144","308"
"20181030","186","144","308"
"20181029","179","142","309"
"20181028","0","0","0"
"20181027","0","0","0"
"20181026","179","142","309"
"20181025","187","145","315"
"20181024","186","145","315"
"20181023","189","144","314"
"20181022","189","144","314"
"20181021","0","0","0"
"20181020","0","0","0"
"20181019","188","145","317"
"20181018","192","147","325"
"20181017","192","148","327"
"20181016","190","147","318"
"20181015","0","0","0"
"20181014","0","0","0"
"20181013","0","0","0"
"20181012","187","142","313"
"20181011","189","143","317"
"20181010","189","143","317"
"20181009","0","0","0"
"20181008","0","0","0"
"20181007","0","0","0"
"20181006","0","0","0"
"20181005","189","143","316"
"20181004","189","143","316"
"20181003","190","144","318"
"20181002","0","0","0"
"20181001","187","143","310"
"20180930","0","0","0"
"20180929","0","0","0"
"20180928","188","143","314"
"20180927","190","142","312"
"20180926","191","143","310"
"20180925","0","0","0"
"20180924","0","0","0"
"20180923","0","0","0"
"20180922","0","0","0"
"20180921","192","138","312"
"20180920","187","135","299"
"20180919","186","137","302"
"20180918","186","137","302"
"20180917","182","137","306"
"20180916","0","0","0"
"20180915","0","0","0"
"20180914","182","137","306"
"20180913","190","144","305"
"20180912","194","144","310"
"20180911","0","0","0"
"20180910","187","144","310"
"20180909","0","0","0"
"20180908","0","0","0"
"20180907","191","143","308"
"20180906","195","144","310"
"20180905","0","0","0"
"20180904","200","143","309"
"20180903","196","140","305"
"20180902","0","0","0"
"20180901","0","0","0"
"20180831","199","140","307"
"20180830","192","140","306"
"20180829","192","140","306"
"20180828","197","142","314"
"20180827","199","142","313"
"20180826","0","0","0"
"20180825","0","0","0"
"20180824","200","144","319"
"20180823","201","147","325"
"20180822","206","148","328"
"20180821","213","149","328"
"20180820","206","149","329"
"20180819","0","0","0"
"20180818","0","0","0"
"20180817","0","0","0"
"20180816","0","0","0"
"20180815","0","0","0"
"20180814","0","0","0"
"20180813","207","145","332"
"20180812","0","0","0"
"20180811","0","0","0"
"20180810","209","146","334"
"20180809","208","145","332"
"20180808","211","146","328"
"20180807","204","145","331"
"20180806","204","145","331"
"20180805","0","0","0"
"20180804","0","0","0"
"20180803","205","143","331"
"20180802","203","146","337"
"20180801","200","144","327"
"20180731","200","144","321"
"20180730","194","142","321"
"20180729","0","0","0"
"20180728","0","0","0"
"20180727","197","142","318"
"20180726","199","141","316"
"20180725","188","140","311"
"20180724","188","140","311"
"20180723","185","138","310"
"20180722","0","0","0"
"20180721","0","0","0"
"20180720","181","136","309"
"20180719","182","136","308"
"20180718","179","134","310"
"20180717","179","134","310"
"20180716","182","136","300"
"20180715","0","0","0"
"20180714","0","0","0"
"20180713","178","133","306"
"20180712","180","136","314"
"20180711","0","0","0"
"20180710","189","141","322"
"20180709","185","138","308"
"20180708","0","0","0"
"20180707","0","0","0"
"20180706","180","138","311"
"20180705","180","138","311"
"20180704","176","136","313"
"20180703","184","141","317"
"20180702","184","141","317"
"20180701","0","0","0"
"20180630","0","0","0"
"20180629","177","139","318"
"20180628","179","142","320"
"20180627","175","137","321"
"20180626","180","140","328"
"20180625","180","140","328"
"20180624","0","0","0"
"20180623","0","0","0"
"20180622","0","0","0"
"20180621","179","139","326"
"20180620","180","140","333"
"20180619","183","142","332"
"20180618","183","142","332"
"20180617","0","0","0"
"20180616","0","0","0"
"20180615","189","148","343"
"20180614","196","148","350"
"20180613","189","144","350"
"20180612","191","148","356"
"20180611","191","148","356"
"20180610","0","0","0"
"20180609","0","0","0"
"20180608","193","148","357"
"20180607","187","151","367"
"20180606","0","0","0"
"20180605","192","154","375"
"20180604","192","154","375"
"20180603","0","0","0"
"20180602","0","0","0"
"20180601","191","154","375"
"20180531","197","157","378"
"20180530","197","157","378"
"20180529","199","159","382"
"20180528","194","159","380"
"20180527","0","0","0"
"20180526","0","0","0"
"20180525","0","0","0"
"20180524","191","159","378"
"20180523","186","158","376"
"20180522","190","158","366"
"20180521","186","158","376"
"20180520","0","0","0"
"20180519","0","0","0"
"20180518","181","157","367"
"20180517","181","157","367"
"20180516","180","156","373"
"20180515","183","156","368"
"20180514","186","158","375"
"20180513","0","0","0"
"20180512","0","0","0"
"20180511","186","158","375"
"20180510","187","158","373"
"20180509","187","157","371"
"20180508","193","159","380"
"20180507","197","160","383"
"20180506","0","0","0"
"20180505","0","0","0"
"20180504","193","155","379"
"20180503","194","156","383"
"20180502","188","154","381"
"20180501","0","0","0"
"20180430","182","153","383"
"20180429","0","0","0"
"20180428","0","0","0"
"20180427","176","189","377"
"20180426","173","150","375"
"20180425","173","150","375"
"20180424","169","148","375"
"20180423","175","150","381"
"20180422","0","0","0"
